UBIGEO,DE_DEPARTAMENTO,DE_PROVINCIA,DE_DISTRITO,PERSONAS_HOGAR,BONO_COBRADO
150132,LIMA,LIMA,'SAN JUAN DE LURIGANCHO',2,SI
150110,LIMA,LIMA,COMAS,2,SI
80108,CUSCO,CUSCO,WANCHAQ,1,SI
150142,LIMA,LIMA,'VILLA EL SALVADOR',1,NO
150132,LIMA,LIMA,'SAN JUAN DE LURIGANCHO',1,SI
120213,JUNIN,CONCEPCION,ORCOTUNA,4,SI
140106,LAMBAYEQUE,CHICLAYO,'LA VICTORIA',2,SI
150115,LIMA,LIMA,'LA VICTORIA',1,SI
150140,LIMA,LIMA,'SANTIAGO DE SURCO',1,SI
80106,CUSCO,CUSCO,SANTIAGO,1,SI
110506,ICA,PISCO,'SAN ANDRES',1,SI
40109,AREQUIPA,AREQUIPA,'MARIANO MELGAR',1,SI
110211,ICA,CHINCHA,'TAMBO DE MORA',1,SI
100102,HUANUCO,HUANUCO,AMARILIS,2,SI
240304,TUMBES,ZARUMILLA,PAPAYAL,2,SI
140113,LAMBAYEQUE,CHICLAYO,REQUE,3,SI
150110,LIMA,LIMA,COMAS,1,NO
40104,AREQUIPA,AREQUIPA,'CERRO COLORADO',1,SI
220801,'SAN MARTIN',RIOJA,RIOJA,2,SI
140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,1,SI
120125,JUNIN,HUANCAYO,PILCOMAYO,4,SI
200601,PIURA,SULLANA,SULLANA,4,SI
130104,'LA LIBERTAD',TRUJILLO,HUANCHACO,4,SI
40103,AREQUIPA,AREQUIPA,CAYMA,1,SI
150113,LIMA,LIMA,'JESUS MARIA',1,SI
210101,PUNO,PUNO,PUNO,1,SI
140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,3,SI
150601,LIMA,HUARAL,HUARAL,3,SI
140105,LAMBAYEQUE,CHICLAYO,'JOSE LEONARDO ORTIZ',2,SI
150113,LIMA,LIMA,'JESUS MARIA',1,SI
40129,AREQUIPA,AREQUIPA,'JOSE LUIS BUSTAMANTE Y RIVERO',1,SI
40116,AREQUIPA,AREQUIPA,SABANDIA,2,SI
81302,CUSCO,URUBAMBA,CHINCHERO,1,SI
150103,LIMA,LIMA,ATE,1,NO
150132,LIMA,LIMA,'SAN JUAN DE LURIGANCHO',1,SI
150132,LIMA,LIMA,'SAN JUAN DE LURIGANCHO',1,NO
190110,PASCO,PASCO,TICLACAYAN,3,SI
150117,LIMA,LIMA,'LOS OLIVOS',3,SI
21801,ANCASH,SANTA,CHIMBOTE,1,NO
150135,LIMA,LIMA,'SAN MARTIN DE PORRES',2,SI
150133,LIMA,LIMA,'SAN JUAN DE MIRAFLORES',1,SI
250304,UCAYALI,'PADRE ABAD',NESHUYA,1,SI
200601,PIURA,SULLANA,SULLANA,2,SI
40303,AREQUIPA,CARAVELI,ATICO,3,SI
110201,ICA,CHINCHA,'CHINCHA ALTA',1,SI
150106,LIMA,LIMA,CARABAYLLO,2,NO
150123,LIMA,LIMA,PACHACAMAC,4,SI
220501,'SAN MARTIN',LAMAS,LAMAS,1,SI
140106,LAMBAYEQUE,CHICLAYO,'LA VICTORIA',3,SI
150132,LIMA,LIMA,'SAN JUAN DE LURIGANCHO',2,SI
40104,AREQUIPA,AREQUIPA,'CERRO COLORADO',1,SI
150132,LIMA,LIMA,'SAN JUAN DE LURIGANCHO',2,SI
150142,LIMA,LIMA,'VILLA EL SALVADOR',2,SI
120215,JUNIN,CONCEPCION,'SANTA ROSA DE OCOPA',1,SI
150108,LIMA,LIMA,CHORRILLOS,2,NO
150801,LIMA,HUAURA,HUACHO,1,SI
150108,LIMA,LIMA,CHORRILLOS,1,SI
150117,LIMA,LIMA,'LOS OLIVOS',2,SI
80106,CUSCO,CUSCO,SANTIAGO,1,SI
150140,LIMA,LIMA,'SANTIAGO DE SURCO',1,NO
130101,'LA LIBERTAD',TRUJILLO,TRUJILLO,2,SI
140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,2,SI
150143,LIMA,LIMA,'VILLA MARIA DEL TRIUNFO',2,SI
60101,CAJAMARCA,CAJAMARCA,CAJAMARCA,1,NO
150110,LIMA,LIMA,COMAS,2,NO
150136,LIMA,LIMA,'SAN MIGUEL',1,SI
220901,'SAN MARTIN','SAN MARTIN',TARAPOTO,1,SI
40122,AREQUIPA,AREQUIPA,SOCABAYA,2,SI
150132,LIMA,LIMA,'SAN JUAN DE LURIGANCHO',1,SI
150142,LIMA,LIMA,'VILLA EL SALVADOR',1,SI
250105,UCAYALI,'CORONEL PORTILLO',YARINACOCHA,3,SI
140106,LAMBAYEQUE,CHICLAYO,'LA VICTORIA',1,SI
100201,HUANUCO,AMBO,AMBO,2,NO
250105,UCAYALI,'CORONEL PORTILLO',YARINACOCHA,1,SI
210101,PUNO,PUNO,PUNO,1,SI
130104,'LA LIBERTAD',TRUJILLO,HUANCHACO,1,SI
150101,LIMA,LIMA,LIMA,1,SI
150130,LIMA,LIMA,'SAN BORJA',1,SI
140112,LAMBAYEQUE,CHICLAYO,PIMENTEL,2,SI
20105,ANCASH,HUARAZ,INDEPENDENCIA,2,SI
180101,MOQUEGUA,'MARISCAL NIETO',MOQUEGUA,1,NO
40102,AREQUIPA,AREQUIPA,'ALTO SELVA ALEGRE',2,SI
200105,PIURA,PIURA,CATACAOS,1,NO
150801,LIMA,HUAURA,HUACHO,2,SI
130107,'LA LIBERTAD',TRUJILLO,MOCHE,2,SI
70101,CALLAO,CALLAO,CALLAO,1,SI
220403,'SAN MARTIN',HUALLAGA,'EL ESLABON',2,SI
70101,CALLAO,CALLAO,CALLAO,1,SI
131006,'LA LIBERTAD','SANTIAGO DE CHUCO',QUIRUVILCA,1,SI
150133,LIMA,LIMA,'SAN JUAN DE MIRAFLORES',5,SI
160113,LORETO,MAYNAS,'SAN JUAN BAUTISTA',1,SI
70101,CALLAO,CALLAO,CALLAO,2,SI
21801,ANCASH,SANTA,CHIMBOTE,3,SI
40110,AREQUIPA,AREQUIPA,MIRAFLORES,2,SI
40122,AREQUIPA,AREQUIPA,SOCABAYA,2,SI
150135,LIMA,LIMA,'SAN MARTIN DE PORRES',1,SI
40110,AREQUIPA,AREQUIPA,MIRAFLORES,1,SI
120125,JUNIN,HUANCAYO,PILCOMAYO,2,SI
130901,'LA LIBERTAD','SANCHEZ CARRION',HUAMACHUCO,1,SI
170303,'MADRE DE DIOS',TAHUAMANU,TAHUAMANU,2,SI
80904,CUSCO,'LA CONVENCION',MARANURA,1,SI
130207,'LA LIBERTAD',ASCOPE,'SANTIAGO DE CAO',3,NO
150128,LIMA,LIMA,RIMAC,1,SI
210501,PUNO,'EL COLLAO',ILAVE,1,SI
150101,LIMA,LIMA,LIMA,2,SI
80104,CUSCO,CUSCO,'SAN JERONIMO',4,SI
21801,ANCASH,SANTA,CHIMBOTE,1,SI
240101,TUMBES,TUMBES,TUMBES,1,SI
220803,'SAN MARTIN',RIOJA,'ELIAS SOPLIN VARGAS',4,SI
150103,LIMA,LIMA,ATE,2,SI
150135,LIMA,LIMA,'SAN MARTIN DE PORRES',1,SI
200101,PIURA,PIURA,PIURA,3,SI
40102,AREQUIPA,AREQUIPA,'ALTO SELVA ALEGRE',1,SI
130101,'LA LIBERTAD',TRUJILLO,TRUJILLO,1,SI
50110,AYACUCHO,HUAMANGA,'SAN JUAN BAUTISTA',1,SI
240105,TUMBES,TUMBES,'SAN JACINTO',2,SI
40112,AREQUIPA,AREQUIPA,PAUCARPATA,1,SI
60101,CAJAMARCA,CAJAMARCA,CAJAMARCA,3,SI
220910,'SAN MARTIN','SAN MARTIN',MORALES,1,NO
150201,LIMA,BARRANCA,BARRANCA,2,SI
210801,PUNO,MELGAR,AYAVIRI,1,SI
150118,LIMA,LIMA,LURIGANCHO,2,SI
180301,MOQUEGUA,ILO,ILO,1,SI
120114,JUNIN,HUANCAYO,'EL TAMBO',1,NO
70101,CALLAO,CALLAO,CALLAO,3,SI
60101,CAJAMARCA,CAJAMARCA,CAJAMARCA,1,SI
140105,LAMBAYEQUE,CHICLAYO,'JOSE LEONARDO ORTIZ',2,SI
120119,JUNIN,HUANCAYO,HUANCAN,1,SI
211102,PUNO,'SAN ROMAN',CABANA,2,SI
150132,LIMA,LIMA,'SAN JUAN DE LURIGANCHO',3,SI
120405,JUNIN,JAUJA,CANCHAYLLO,2,SI
40107,AREQUIPA,AREQUIPA,'JACOBO HUNTER',1,SI
50115,AYACUCHO,HUAMANGA,'JESUS NAZARENO',1,SI
150132,LIMA,LIMA,'SAN JUAN DE LURIGANCHO',2,SI
21801,ANCASH,SANTA,CHIMBOTE,1,SI
110101,ICA,ICA,ICA,1,SI
220901,'SAN MARTIN','SAN MARTIN',TARAPOTO,1,SI
80601,CUSCO,CANCHIS,SICUANI,1,SI
70101,CALLAO,CALLAO,CALLAO,2,SI
70106,CALLAO,CALLAO,VENTANILLA,2,SI
240103,TUMBES,TUMBES,'LA CRUZ',1,SI
130104,'LA LIBERTAD',TRUJILLO,HUANCHACO,3,SI
190101,PASCO,PASCO,CHAUPIMARCA,1,SI
131006,'LA LIBERTAD','SANTIAGO DE CHUCO',QUIRUVILCA,1,SI
130101,'LA LIBERTAD',TRUJILLO,TRUJILLO,2,SI
140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,1,SI
100604,HUANUCO,'LEONCIO PRADO','JOSE CRESPO Y CASTILLO',3,SI
150110,LIMA,LIMA,COMAS,2,NO
221001,'SAN MARTIN',TOCACHE,TOCACHE,2,SI
110103,ICA,ICA,'LOS AQUIJES',1,SI
150601,LIMA,HUARAL,HUARAL,1,SI
40414,AREQUIPA,CASTILLA,VIRACO,1,SI
140105,LAMBAYEQUE,CHICLAYO,'JOSE LEONARDO ORTIZ',3,NO
130101,'LA LIBERTAD',TRUJILLO,TRUJILLO,2,NO
211101,PUNO,'SAN ROMAN',JULIACA,2,SI
40112,AREQUIPA,AREQUIPA,PAUCARPATA,2,NO
220105,'SAN MARTIN',MOYOBAMBA,SORITOR,3,SI
150727,LIMA,HUAROCHIRI,'SANTA CRUZ DE COCACHACRA',2,SI
200401,PIURA,MORROPON,CHULUCANAS,2,SI
150128,LIMA,LIMA,RIMAC,1,SI
120708,JUNIN,TARMA,'SAN PEDRO DE CAJAS',1,NO
70101,CALLAO,CALLAO,CALLAO,2,NO
120117,JUNIN,HUANCAYO,HUALHUAS,2,SI
160113,LORETO,MAYNAS,'SAN JUAN BAUTISTA',1,SI
160108,LORETO,MAYNAS,PUNCHANA,2,SI
140114,LAMBAYEQUE,CHICLAYO,'SANTA ROSA',2,SI
21501,ANCASH,PALLASCA,CABANA,2,SI
70103,CALLAO,CALLAO,'CARMEN DE LA LEGUA REYNOSO',4,SI
140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,1,NO
110210,ICA,CHINCHA,SUNAMPE,2,NO
40128,AREQUIPA,AREQUIPA,YURA,2,SI
210709,PUNO,LAMPA,'SANTA LUCIA',1,SI
250105,UCAYALI,'CORONEL PORTILLO',YARINACOCHA,3,SI
150111,LIMA,LIMA,'EL AGUSTINO',1,NO
170102,'MADRE DE DIOS',TAMBOPATA,INAMBARI,1,SI
170101,'MADRE DE DIOS',TAMBOPATA,TAMBOPATA,2,SI
150133,LIMA,LIMA,'SAN JUAN DE MIRAFLORES',1,SI
150101,LIMA,LIMA,LIMA,1,SI
40129,AREQUIPA,AREQUIPA,'JOSE LUIS BUSTAMANTE Y RIVERO',2,SI
100604,HUANUCO,'LEONCIO PRADO','JOSE CRESPO Y CASTILLO',1,SI
150137,LIMA,LIMA,'SANTA ANITA',2,SI
40104,AREQUIPA,AREQUIPA,'CERRO COLORADO',1,SI
200705,PIURA,TALARA,'LOS ORGANOS',2,SI
130106,'LA LIBERTAD',TRUJILLO,LAREDO,2,SI
40407,AREQUIPA,CASTILLA,HUANCARQUI,2,SI
120601,JUNIN,SATIPO,SATIPO,1,SI
130102,'LA LIBERTAD',TRUJILLO,'EL PORVENIR',2,SI
150103,LIMA,LIMA,ATE,2,SI
150108,LIMA,LIMA,CHORRILLOS,1,SI
140105,LAMBAYEQUE,CHICLAYO,'JOSE LEONARDO ORTIZ',1,NO
140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,2,SI
230108,TACNA,TACNA,POCOLLAY,1,SI
40117,AREQUIPA,AREQUIPA,SACHACA,3,SI
80903,CUSCO,'LA CONVENCION',HUAYOPATA,1,SI
150143,LIMA,LIMA,'VILLA MARIA DEL TRIUNFO',1,SI
120114,JUNIN,HUANCAYO,'EL TAMBO',1,SI
120801,JUNIN,YAULI,'LA OROYA',1,SI
120114,JUNIN,HUANCAYO,'EL TAMBO',1,SI
200101,PIURA,PIURA,PIURA,1,SI
21808,ANCASH,SANTA,SANTA,2,SI
150118,LIMA,LIMA,LURIGANCHO,1,NO
70103,CALLAO,CALLAO,'CARMEN DE LA LEGUA REYNOSO',1,SI
